                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.54361,                0.54489,                 1.0814,                 0.6126,                0.62508,                 1.1026,                0.99089,                0.97131,                  0.995,                0.88427,                0.45821,                0.37679,                 1.0507,                0.52915,                0.41228,                 1.1291,              0.0011224,              0.0011224,              0.0011224
                     36,                0.52135,                0.50134,                  1.073,                0.57454,                0.57625,                  1.092,                0.98312,                0.96839,                  0.995,                0.90174,                0.44301,                0.37595,                 1.0493,                0.47189,                 0.3974,                 1.0733,              0.0011059,              0.0011059,              0.0011059
                     37,                0.51908,                0.47587,                 1.0685,                0.58686,                0.54285,                 1.0904,                0.79888,                0.96608,                0.95282,                0.87135,                0.43803,                0.41266,                 1.0306,                0.47437,                0.54644,                 1.0701,              0.0010894,              0.0010894,              0.0010894
                     38,                0.52096,                 0.4651,                 1.0612,                0.58894,                0.53988,                 1.0784,                0.94757,                 0.9932,                0.98971,                0.90066,                0.43549,                0.34032,                 1.0163,                0.49853,                0.41041,                 1.0882,              0.0010729,              0.0010729,              0.0010729
                     39,                 0.5175,                  0.474,                   1.07,                0.58949,                0.54053,                  1.099,                0.97547,                0.85542,                0.96818,                0.86879,                0.39885,                0.37283,                0.98732,                0.45771,                0.49453,                 1.0604,              0.0010564,              0.0010564,              0.0010564
                     40,                0.49995,                 0.4578,                   1.06,                0.56509,                0.50291,                 1.0796,                0.92525,                0.94982,                0.98406,                0.84633,                0.46329,                0.36421,                 1.0666,                 0.5236,                0.45161,                 1.1244,              0.0010399,              0.0010399,              0.0010399
                     41,                0.49629,                0.46427,                 1.0755,                0.55717,                0.49978,                 1.0976,                0.95427,                0.96875,                0.99324,                0.87295,                0.44885,                0.33698,                 1.0558,                0.51683,                0.38849,                 1.1067,              0.0010234,              0.0010234,              0.0010234
                     42,                0.49614,                0.43669,                  1.055,                0.55309,                0.48117,                 1.0803,                0.99265,                0.99649,                  0.995,                0.90947,                0.49224,                0.34296,                 1.0568,                0.52363,                0.35243,                 1.1019,              0.0010069,              0.0010069,              0.0010069
                     43,                0.51078,                0.44355,                  1.068,                0.57088,                0.49959,                  1.094,                0.97806,                0.91008,                0.98713,                0.91839,                0.40898,                0.31415,                0.99847,                0.43391,                0.41818,                 1.0306,             0.00099036,             0.00099036,             0.00099036
                     44,                0.48143,                0.41311,                 1.0471,                0.53299,                 0.4493,                 1.0635,                0.96283,                0.97826,                0.99164,                0.90913,                 0.4339,                0.33103,                  1.041,                0.41614,                0.32724,                 1.0401,             0.00097386,             0.00097386,             0.00097386
                     45,                0.48626,                0.42856,                  1.049,                0.53863,                0.47921,                 1.0674,                0.93815,                 0.9959,                0.98975,                0.91346,                0.43311,                 0.3237,                 1.0537,                0.45381,                0.35551,                 1.1065,             0.00095736,             0.00095736,             0.00095736
                     46,                0.49791,                0.42655,                 1.0642,                0.55071,                0.45432,                 1.0871,                0.99321,                0.91802,                0.98664,                0.91554,                0.42818,                0.29985,                 1.0752,                 0.4272,                0.36552,                 1.0627,             0.00094085,             0.00094085,             0.00094085
                     47,                0.48161,                0.41501,                 1.0605,                0.55062,                 0.4502,                 1.0882,                0.93395,                0.96875,                0.98968,                0.91741,                0.40173,                0.30836,                 1.0124,                0.42846,                0.43559,                 1.0411,             0.00092435,             0.00092435,             0.00092435
